course,point,name,instructor,Department,time,realTime,Classroom,Typeofcredit,LectureLanguage,Eligible,Informationofalteration,Note
202830001,3,地方創生與青年創業實驗室,王雅萍、湯京平 ,政治三政治四,一567 ,mon14-17,,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202876011,3,政治經濟學,蔡中民 ,政治三政治四,二234 ,tue09-12,綜合270314,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
042112001,3,臺灣政治,林超琦 ,政治系,三78E ,wed16-19,綜合270103,群,中文,是,異動資訊Information of alteration:N/A,備註Note:限有選課且出席第一次課程者選修，如未出席者，請自行退選。
202828001,3,台日地方創生與社區營造的深度對話：地域設計在地培力跨國實踐,湯京平 ,政治三政治四,未定或彈性,N/A,,選,英文,否,異動資訊Information of alteration:N/A,備註Note:密集授課9/7~9/15第2~7節；不開放選課
202100001,3,中國大陸政府與政治,寇健文 ,政治三政治四,三234 ,wed09-12,綜合270205,群,中文,否,異動資訊Information of alteration:N/A,備註Note:第一次上課確定分組及報告順序，故限有選課且出席第一次課程者選修，如未出席者，請自行退選，由候補名單依序遞補，候補同學未出席第一次上課者，請自行退選，空出名額再依候補名單序加簽；不接受旁聽。
202849001,3,中國政治史,張其賢 ,政治三政治四,四D56 ,thu13-16,綜合270208,選,中文,否,異動資訊Information of alteration:N/A,備註Note:必須先修習「中國政治思想典籍導讀」或「中國政治思想史」，方可選修。
202002001,3,中華民國憲法及政府,翁燕菁 ,政治二,五234 ,fri09-12,綜合270103,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202838001,3,國際人權法,許耀明 ,政治三政治四,四D56 ,thu13-16,綜合270105,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202122001,3,台灣政治史,翁燕菁 ,政治三政治四,四234 ,thu09-12,大勇210205,群,英文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202839001,3,選舉文宣企劃,吳秀瓊 ,政治三政治四,四34C ,thu10-13,,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
000226021,3,政治學,韋洪武 ,政治系,四D56 ,thu13-16,大勇210101,必,中文,否,異動資訊Information of alteration:N/A,備註Note:本課程於第二階段初選登記開放選課。
202913001,3,美國政府與政治 ,蔡中民 ,政治三政治四,三D56 ,wed13-16,綜合270416,選,英文,否,異動資訊Information of alteration:N/A,備註Note:授課教師為：Marc Levitt
042112081,3,臺灣政治,盛杏湲 ,政治系,一78E ,mon16-19,綜合270103,群,中文,是,異動資訊Information of alteration:N/A,備註Note:N/A
202104001,3,選舉與投票行為 ,俞振華 ,政治三政治四,二D56 ,tue13-16,綜合270303,群,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202835001,3,自由人權與市民社會,陳建綱 ,政治三政治四,三D56 ,wed13-16,綜合270410,選,英文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202005001,3,公共政策,湯京平 ,政治二政治三,二D56 ,tue13-16,綜合270416,群,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202901001,3,日本政府與政治 ,林超琦 ,政治三政治四,二234 ,tue09-12,綜合270204,選,中文,否,異動資訊Information of alteration:N/A,備註Note:限有選課且出席第一次課程者選修，如未出席者，請自行退選。
000226011,3,政治學,孫采薇 ,政治系,一D56 ,mon13-16,大勇210205,必,中文,否,異動資訊Information of alteration:N/A,備註Note:外交系優先。本課程於第二階段初選登記開放選課。
000226001,3,政治學,蘇彥斌 ,政治系,三D56 ,wed13-16,大勇210101,必,中文,否,異動資訊Information of alteration:N/A,備註Note:公行系優先。本課程於第二階段初選登記開放選課。
863008001,3,國際關係理論,石原忠浩,日學博一日學博二,二234 ,tue09-12,綜合271112,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
863900001,3,日本近代政治外交史３,于乃明 ,日學博一日學博二,四234 ,thu09-12,綜合271111,選,日文,否,異動資訊Information of alteration:N/A,備註Note:N/A
863911001,3,新世紀日本政治,鄭子真 ,日學博一日學博二,五D56 ,fri13-16,綜合271111,選,中文,否,異動資訊Information of alteration:N/A,備註Note:由兼任教師鄭子真老師授課
863905001,3,日本科技與產業發展,李世暉 ,日學博一日學博二,二D56 ,tue13-16,綜合271111,選,中文,否,異動資訊Information of alteration:時間異動於2020/06/20;,備註Note:N/A
863937001,3,日本經濟專題研究,李世暉 ,日學博一日學博二,三D56 ,wed13-16,綜合271111,選,中文,否,異動資訊Information of alteration:時間異動於2020/06/20;,備註Note:N/A
863006001,3,政治經濟學,劉致賢 ,日學博一日學博二,三567 ,wed14-17,綜合270813,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
863904001,3,當代日本政治概論,石原忠浩,日學博一日學博二,三234 ,wed09-12,綜合271106,選,日文,否,異動資訊Information of alteration:N/A,備註Note:中日雙語授課。
863932001,3,日韓關係研究,柯玉枝 ,日學博一日學博二,五234 ,fri09-12,綜合271111,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
070144001,3,行銷管理,白佩玉 ,商學院,四D56 ,thu13-16,研究250308,群,中文,否,異動資訊Information of alteration:N/A,備註Note:限外語專長商管學程同學，第一堂課務必出席。
300005021,1,企業社會責任與倫理,周玲臺 ,商院碩士 ,一234 ,mon09-12,,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限學籍107級後之商學院金融、會計等系所碩士生修習
070142021,3,管理學,郭曉玲 ,商學院,二D56 ,tue13-16,研究250202,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限外語專長商管學程同學，第一堂課務必出席。
300898031,3,寫作與口語訓練（一）,楊健威 ,商院選修 ,三D56 ,wed13-16,研究250303,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300885051,3,中級口語訓練 ,沈琪,商院選修,五D56 ,fri13-16,學思040208,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修ETP寫作與口語訓練(一)(二)
300885011,3,中級口語訓練 ,沈琪,商院選修 ,三234 ,wed09-12,學思040208,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修ETP寫作與口語訓練(一)(二)
070142011,3,管理學,郭曉玲 ,商學院,五234 ,fri09-12,研究250306,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限外語專長商管學程同學，第一堂課務必出席。
070167091,3,初級會計學（一）,林禹銘 ,商學院,二EFG ,tue18-21,大勇210206,必,中文,否,異動資訊Information of alteration:N/A,"備註Note:限外語專長學分學程同學
300871021,3,高級口語訓練,沈琪,商院學士 ,三D56 ,wed13-16,學思040208,選,英文,否,異動資訊Information of alteration:N/A,"備註Note:先修寫作與口語訓練(一)(二)
300788001,3,個人金融學,姜健國 ,商院學士 ,三D56 ,wed13-16,研究250201,選,英文,否,異動資訊Information of alteration:N/A,"備註Note:需修畢經濟學
300871031,3,高級口語訓練,楊健威 ,商院學士 ,五234 ,fri09-12,研究250307,選,英文,否,異動資訊Information of alteration:N/A,"備註Note:先修寫作與口語訓練(一)(二)
300898011,3,寫作與口語訓練（一）,鄺慧琪 ,商院選修 ,三234 ,wed09-12,學思040201,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300898071,3,寫作與口語訓練（一）,楊健威 ,商院選修 ,五D56 ,fri13-16,研究250307,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300005031,1,企業社會責任與倫理,別蓮蒂 ,商院碩士 ,一234 ,mon09-12,,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限學籍107級後之商學院國貿、統計等系所碩士生修習
300005041,1,企業社會責任與倫理,別蓮蒂 ,商院碩士 ,一234 ,mon09-12,商館260210,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限學籍107級後之商學院資管、科智等系所碩士生修習
300781001,3,設計思考與人工智慧,陳宜秀、蔡炎龍 ,商院學士 ,三D56 ,wed13-16,創意實驗室,選,中文,否,異動資訊Information of alteration:N/A,備註Note:科目代號300781001- for「創新創業學程」學生選修
300885021,3,中級口語訓練 ,鄺慧琪 ,商院選修 ,四234 ,thu09-12,學思040306,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修ETP寫作與口語訓練(一)(二)
300898051,3,寫作與口語訓練（一）,鄺慧琪 ,商院選修 ,五234 ,fri09-12,學思040201,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
070244001,3,營運與供應鏈管理,李易諭 ,商學院,三D56 ,wed13-16,商館260101,群,中文,否,異動資訊Information of alteration:N/A,"備註Note:限外語專長學分學程同學
300787001,3,個人金融學,姜健國 ,商院碩士 ,三D56 ,wed13-16,研究250201,選,英文,否,異動資訊Information of alteration:N/A,"備註Note:需修畢經濟學
300006021,1,學術倫理,林月雲 ,商院博士 ,一EFG ,mon18-21,教室洽系所 ,必,英文,否,異動資訊Information of alteration:N/A,備註Note:限商學院外籍博士生修習
300871011,3,高級口語訓練,楊健威 ,商院學士 ,二D56 ,tue13-16,學思040306,選,英文,否,異動資訊Information of alteration:N/A,"備註Note:先修寫作與口語訓練(一)(二)
300898001,3,寫作與口語訓練（一）,楊健威 ,商院選修 ,二234 ,tue09-12,學思040208,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300005011,1,企業社會責任與倫理,陳嬿如 ,商院碩士 ,一234 ,mon09-12,研究250103,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限學籍107級後之商學院財管、風管等系所碩士生修習
300885041,3,中級口語訓練 ,沈琪,商院選修 ,五234 ,fri09-12,學思040208,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修ETP寫作與口語訓練(一)(二)
070153001,3,財務管理,盧敬植 ,商學院,三D56 ,wed13-16,商館260313,群,中文,否,異動資訊Information of alteration:N/A,備註Note:限外語專長商管學程同學，第一堂課務必出席。
300871001,3,高級口語訓練,沈琪,商院學士 ,二234 ,tue09-12,學思040201,選,英文,否,異動資訊Information of alteration:N/A,"備註Note:先修寫作與口語訓練(一)(二)
070163021,3,商用英文：口語溝通與談判技巧,胡家榮 ,商學院,四CD5 ,thu12-15,研究250306,群,中文,否,異動資訊Information of alteration:N/A,備註Note:限外語專長商管學分學程修習
070167081,3,初級會計學（一）,林禹銘 ,商學院,一EFG ,mon18-21,大勇210206,必,中文,否,異動資訊Information of alteration:N/A,"備註Note:限外語專長學分學程同學
300898041,3,寫作與口語訓練（一）,鄺慧琪 ,商院選修 ,三D56 ,wed13-16,學思040201,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300005001,0,企業社會責任與倫理,別蓮蒂 ,商院碩士 ,一234 ,mon09-12,,必,中文,否,異動資訊Information of alteration:N/A,備註Note:限學籍106級前之商學院國貿、金融、會計、財管、統計、資管、風管、科智等系所碩士生修習
300885001,3,中級口語訓練 ,沈琪,商院選修 ,二D56 ,tue13-16,學思040303,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修ETP寫作與口語訓練(一)(二)
300898061,3,寫作與口語訓練（一）,鄺慧琪 ,商院選修 ,五D56 ,fri13-16,學思040201,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300898021,3,寫作與口語訓練（一）,楊健威 ,商院選修 ,三234 ,wed09-12,研究250307,選,英文,否,異動資訊Information of alteration:N/A,備註Note:ETP大一學生及大二轉入ETP學生必修
300885031,3,中級口語訓練 ,鄺慧琪 ,商院選修 ,四D56 ,thu13-16,學思040301,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修ETP寫作與口語訓練(一)(二)
042142001,3,環視全球－挑戰國際視野,連弘宜 ,國務院,三78E ,wed16-19,綜合270113,群,中文,是,異動資訊Information of alteration:N/A,備註Note:核心通識：正課時間為7~8節，TA討論課時間為E節（每週1節課）。
042142011,3,環視全球－挑戰國際視野,楊文琪 ,國務院,四78E ,thu16-19,綜合270103,群,中文,是,異動資訊Information of alteration:N/A,備註Note:核心通識：正課時間為7~8節，TA討論課時間為E節（每週1節課）。
000347061,3,財務管理,黃嘉威 ,財管系,四D56 ,thu13-16,資訊140107,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年，英語授課。
307870001,3,投資組合管理 ,陳鴻毅 ,財管三,二D56 ,tue13-16,商館260210,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修投資學
000351011,3,投資學 ,張元晨 ,財管系,二234 ,tue09-12,商館260205,必,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年。
000347051,3,財務管理,盧敬植 ,財管系,三D56 ,wed13-16,商館260313,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年。
307035001,3,衍生性金融商品,岳夢蘭 ,財管三,一567 ,mon14-17,商館260301,必,中文,否,異動資訊Information of alteration:N/A,備註Note:先修統計學一學年。
000347071,3,財務管理,屠美亞 ,財管系,四234 ,thu09-12,商館260206,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年。
307920001,3,國際投資 ,顏錫銘 ,財管三財管四,四567 ,thu14-17,,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修投資學。
000351041,3,投資學 ,陳聖賢 ,財管系,四D56 ,thu13-16,商館260210,必,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年。
000347031,3,財務管理,湛可南 ,財管系,四234 ,thu09-12,學思040103,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年，英語授課，企二甲優先。
000347081,3,財務管理,郭維裕 ,財管系,三D56 ,wed13-16,研究250103,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年，國貿二優先。
307874001,3,不動產投資 ,楊茜文 ,財管三,四D56 ,thu13-16,商館260313,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
307033001,3,財務管理個案,周行一 ,財管四,四234 ,thu09-12,商館260311,必,英文,否,異動資訊Information of alteration:N/A,備註Note:先修進階財務管理，英語授課。
307861001,3,壽險經營管理實務講座,蔡政憲 ,財管三財管四,二D56 ,tue13-16,逸仙050101,選,中文,否,異動資訊Information of alteration:N/A,備註Note:限大三大四生，與風管系合開
000347021,3,財務管理,周冠男 ,財管系,二234 ,tue09-12,商館260210,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年，此課程不加簽，財管二優先。
000347041,3,財務管理,湛可南 ,財管系,五234 ,fri09-12,商館260313,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年。
000347001,3,財務管理,林基煌 ,財管系,二EFG ,tue18-21,商館260306,選,英文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年。英語授課。
000347011,3,財務管理,周冠男 ,財管系,一D56 ,mon13-16,商館260206,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟、初會一學年，此課程不加簽，企二乙優先。
307890001,3,企業評價 ,吳啟銘 ,財管四,五234 ,fri09-12,商館260302,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修財務管理，限大四商院生
307865001,3,證券分析 ,吳啟銘 ,財管三,三567 ,wed14-17,商館260302,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修投資學，不加簽
000347091,3,財務管理,林建秀 ,財管系,四234 ,thu09-12,研究250105,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年，金融二優先。
307864001,3,財務軟體應用 ,陳虹伶 ,財管三,二234 ,tue09-12,商院電腦室 ,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修財務管理
000351001,3,投資學 ,周行一 ,財管系,三234 ,wed09-12,商館260105,必,英文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年，英語授課。
000351031,3,投資學 ,陳鴻毅 ,財管系,一D56 ,mon13-16,商館260207,必,英文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年，英語授課。
307917001,3,財務報表分析 ,林美花 ,財管三,一D56 ,mon13-16,商館260305,選,中文,否,異動資訊Information of alteration:N/A,備註Note:先修財務管理、中級會計學一學年。
307848001,3,投資銀行,詳備註 ,財管三財管四,三D56 ,wed13-16,商館260311,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
000351021,3,投資學 ,張元晨 ,財管系,三234 ,wed09-12,學思040205,必,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年。
000351051,3,投資學 ,黃嘉威 ,財管系,三D56 ,wed13-16,商館260306,必,中文,否,異動資訊Information of alteration:N/A,備註Note:先修經濟學及初級會計學一學年。
506010001,2,日文習作（一） ,今泉江利子 ,日文二,二34,tue10-12,綜合270107,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:此為日文習作(一)A班。
506005001,4,初級日語 ,葉秉杰 ,日文一,一12三12,"mon08-10,wed08-10",研究250101學思040302,必,中文,否,異動資訊Information of alteration:N/A
506011021,2,日文習作（二）,城戶秀則,日文三,二34,tue10-12,季陶340405,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:此為日文習作(二)C班
506008001,2,高級日語 ,栗田岳 ,日文三,一78,mon16-18,研究250105,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010103071,2,日語會話（一） ,葉寶珠 ,日文系,三D5,wed13-15,綜合270107,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010105011,2,日語會話（二） ,周雅玲 ,日文系,五34,fri10-12,資訊140207,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010103061,2,日語會話（一） ,許育惠 ,日文系,三34,wed10-12,資訊140305,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010103011,2,日語會話（一） ,周雅玲 ,日文系,五D5,fri13-15,學思040301,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010131011,1,日語演習（一） ,劉碧惠 ,日文系,四56,thu14-16,綜合270108,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
506007001,3,中級日語 ,王淑琴 ,日文二,四D56 ,thu13-16,季陶340108,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010132051,1,日語演習（二） ,許育惠 ,日文系,三CD,wed12-14,教室洽系所 ,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010113001,2,高級日語 ,楊慧芳 ,日文系,二D5,tue13-15,學思040202,選,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
506075001,2,日本名著選讀Ｃ１：歷史文化,徐翔生 ,日文三,二56,tue14-16,綜合270206,群,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
506010021,2,日文習作（一）,加納剛 ,日文二,二34,tue10-12,學思040107,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:此為日文習作(一)C班
010132011,1,日語演習（二） ,傅斯榆 ,日文系,三56,wed14-16,綜合270108,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010132021,1,日語演習（二） ,施列庭 ,日文系,四D5,thu13-15,資訊140407,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
506072001,3,日本專題研究Ｃ：歷史文化,楊素霞 ,日文四,一678 ,mon15-18,教室洽系所 ,群,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010105071,2,日語會話（二）,林士鈞 ,日文系,三EF,wed18-20,研究250102,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010131021,1,日語演習（一） ,施列庭 ,日文系,四34,thu10-12,資訊140407,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
506845001,2,日譯中理論與實務１,王盈文 ,日文三,五12,fri08-10,學思040301,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010103081,2,日語會話（一） ,楊慧芳 ,日文系,二67,tue15-17,教室洽系所 ,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010131041,1,日語演習（一） ,傅斯榆 ,日文系,三CD,wed12-14,教室洽系所 ,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
506945001,2,日本歷史 ,楊素霞 ,日文二,二78,tue16-18,研究250201,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010105021,2,日語會話（二） ,詹兆雯 ,日文系,三78,wed16-18,資訊140207,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010102021,3,初級日語 ,邱麗娟 ,日文系,五EFG ,fri18-21,研究250101,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010103051,2,日語會話（一） ,詹兆雯 ,日文系,三56,wed14-16,資訊140207,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010107031,2,日文寫作 ,楊慧芳 ,日文系,五34,fri10-12,研究250102,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010104001,3,中級日語 ,林士鈞 ,日文系,四EFG ,thu18-21,研究250102,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
010131031,1,日語演習（一） ,劉碧惠 ,日文系,三34,wed10-12,資訊140207,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
506011011,2,日文習作（二）,吉田妙子,日文三,二34,tue10-12,季陶340302,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:此為日文習作(二)B班。
010107041,2,日文寫作 ,林士鈞 ,日文系,三78,wed16-18,研究250102,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
506006001,4,日語會話演習（一）,洪淑娟 ,日文一,二56四56,"tue14-16,thu14-16",綜合270302研究250202,必,中文,否,異動資訊Information of alteration:N/A
506011001,2,日文習作（二） ,栗田岳 ,日文三,二34,tue10-12,綜合270307,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:此為日文習作(二)A班
506070001,3,日本專題研究Ａ：語言,喬曉筠 ,日文四,三567 ,wed14-17,教室洽系所 ,群,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
506846001,2,時間與日語文法,栗田岳 ,日文四,二56,tue14-16,綜合270307,選,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
506009011,3,日語會話演習（二）,加納剛 ,日文二,二D56 ,tue13-16,資訊140401,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:此為日語會話演習(二)B班
506914001,2,日文教材教法與實習,洪淑娟 ,日文四,四78,thu16-18,研究250201,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
010104011,3,中級日語 ,葉寶珠 ,日文系,四D56 ,thu13-16,資訊140208,必,日文/Japanese ,否,異動資訊Information of alteration:N/A,備註Note:N/A
